age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Class
22,5,2491,9,12,4,0,1,4,1,24,0,39,38,0
33,4,2727,9,12,2,3,0,4,1,0,0,12,38,0
21,2,13188,11,8,0,5,1,4,1,0,0,39,38,0
36,2,14354,1,6,2,5,0,2,1,0,0,39,38,0
11,2,18120,9,12,2,9,5,2,0,0,0,39,4,0
20,2,16567,12,13,2,3,5,4,0,0,0,39,38,0
32,2,7982,6,4,3,7,1,2,0,0,0,15,22,0
35,4,12746,11,8,2,3,0,4,1,0,0,44,38,1
14,2,1225,12,13,4,9,1,4,0,104,0,49,38,1
25,2,7908,9,12,2,3,0,4,1,78,0,39,38,1
20,2,16411,15,9,2,3,0,2,1,0,0,76,38,1
13,5,6629,9,12,2,9,0,1,1,0,0,39,18,1
6,2,5399,9,12,4,0,3,4,0,0,0,29,38,0
15,2,12364,7,11,4,11,1,2,1,0,0,49,38,0
17,2,14951,5,3,2,13,0,0,1,0,0,44,25,0
8,4,9507,11,8,4,4,3,4,1,0,0,34,38,0
15,2,10533,11,8,4,6,4,4,1,0,0,39,38,0
21,2,292,1,6,2,11,0,4,1,0,0,49,38,0
26,4,16831,12,13,0,3,4,4,0,0,0,44,38,1
23,2,11280,10,15,2,9,0,4,1,0,0,59,38,1
37,2,17134,11,8,5,7,4,2,0,0,0,19,38,0
18,0,2457,6,4,2,4,0,2,1,0,0,39,38,0
26,2,4963,1,6,2,13,0,4,1,0,54,39,38,0
42,2,4309,11,8,0,12,4,4,0,0,0,39,38,0
39,1,13274,9,12,2,12,0,4,1,0,0,39,38,1
2,2,8667,11,8,4,2,3,4,1,0,0,39,38,0
22,2,18795,11,8,0,3,1,4,1,0,0,76,38,0
32,2,11265,11,8,2,2,0,4,1,0,0,39,38,0
6,1,10970,7,11,4,10,1,4,1,0,0,51,38,0
3,2,15818,15,9,4,11,3,2,1,0,0,43,38,0
28,2,19113,9,12,0,3,3,4,1,0,15,39,38,0
13,0,1847,15,9,2,0,3,4,1,0,0,39,38,0
5,5,17406,15,9,2,7,0,2,1,0,0,14,38,0
31,2,14788,1,6,4,6,4,4,1,0,0,39,32,0
4,2,11626,15,9,4,6,3,4,1,0,0,39,38,0
2,2,20060,11,8,1,0,5,4,0,0,0,24,38,0
31,4,15799,7,11,2,9,0,4,1,0,0,39,38,0
14,2,19976,6,4,2,6,0,4,1,0,0,42,38,0
36,4,2958,9,12,2,9,0,4,1,0,0,39,38,0
7,2,9091,9,12,2,12,0,4,1,0,0,49,38,0
32,2,3244,11,8,5,0,4,4,0,0,0,39,38,0
8,2,16763,11,8,4,5,1,4,1,0,0,34,38,0
40,0,18104,9,12,2,9,0,2,1,0,0,39,38,1
36,2,6863,11,8,2,6,0,4,1,0,0,37,38,0
27,2,5814,12,13,0,3,4,4,0,0,0,39,38,0
24,5,3722,8,10,2,2,0,4,1,0,0,39,38,0
12,2,16051,8,10,4,9,1,4,1,0,0,42,38,0
8,2,513,15,9,2,3,5,3,0,0,0,39,38,0
30,2,1494,14,14,2,9,5,4,0,0,47,59,15,1
33,0,15228,9,12,0,3,1,4,1,0,0,54,38,1
30,3,4375,11,8,0,3,1,4,1,0,0,59,38,0
26,2,14545,15,9,2,12,0,4,1,0,0,39,38,1
29,2,13258,4,2,2,6,0,4,1,0,0,39,25,0
18,2,1710,8,10,2,7,0,4,1,0,0,39,32,0
24,2,7069,11,8,2,0,0,4,1,0,0,47,38,0
13,2,10691,11,8,2,6,0,4,1,76,0,39,38,0
13,2,1834,9,12,2,11,0,4,1,33,0,39,38,0
31,2,7225,11,8,2,13,0,4,1,0,0,39,38,0
25,2,4927,10,15,2,9,0,4,1,0,0,44,38,1
12,2,4041,15,9,0,12,1,4,1,0,0,57,38,0
19,2,7641,11,8,2,2,0,4,1,0,0,39,38,0
11,2,10159,15,9,0,0,1,4,0,0,0,39,38,0
36,2,8809,11,8,2,0,5,4,0,0,0,39,38,1
32,3,11073,15,9,2,3,0,4,1,0,0,49,38,1
2,2,3712,15,9,4,9,3,4,1,0,0,31,38,0
14,2,17370,9,12,5,11,3,2,0,0,0,39,38,0
12,4,8142,9,12,2,11,0,4,1,0,0,68,38,1
6,2,12904,15,9,4,6,1,4,1,0,0,39,38,0
62,2,5562,15,9,2,9,2,4,1,0,0,19,38,0
10,2,13073,11,8,4,7,3,4,1,0,0,39,25,0
23,2,508,7,11,2,0,0,4,1,0,0,39,38,0
1,2,17365,1,6,4,7,3,4,0,0,0,21,38,0
14,1,5644,5,3,2,4,0,4,1,0,0,39,38,0
1,2,19731,11,8,4,11,1,4,1,0,0,29,38,0
35,2,16246,9,12,2,7,0,4,1,0,0,39,4,0
29,2,1485,11,8,2,7,5,4,0,0,0,39,38,0
42,2,7958,11,8,2,11,0,4,1,0,0,47,38,0
27,2,18275,11,8,0,2,1,4,0,105,0,39,38,1
36,2,18352,11,8,0,11,3,4,0,0,0,34,38,0
32,1,15929,11,8,2,10,0,4,1,0,0,39,38,1
16,2,12118,12,13,2,9,0,4,1,0,0,49,38,0
13,2,1616,6,4,4,11,1,4,1,0,0,39,38,0
26,0,19434,10,15,4,9,1,4,0,0,0,49,38,1
40,2,15161,8,10,2,9,0,4,1,0,0,39,38,0
20,2,16645,15,9,0,2,4,4,0,0,0,39,38,0
11,2,12960,15,9,0,6,4,2,0,0,0,24,38,0
17,1,13863,9,12,2,10,0,4,1,0,0,39,38,1
12,1,4840,15,9,4,5,1,4,1,0,0,49,38,0
31,4,11034,10,15,2,9,0,4,1,0,47,59,38,1
20,2,12169,15,9,2,11,0,4,1,0,0,47,38,1
31,2,8921,7,11,0,3,4,4,0,0,0,39,8,0
15,0,15137,11,8,4,7,3,2,1,0,0,39,38,0
59,2,5530,12,13,2,3,0,4,1,0,0,39,38,1
27,2,11751,9,12,2,3,0,4,1,107,0,59,38,1
30,4,7188,12,13,4,9,1,4,0,0,0,49,38,0
3,2,10710,15,9,4,12,3,4,0,0,0,39,38,0
12,2,3868,11,8,4,2,1,4,1,0,0,39,38,0
15,3,17592,11,8,2,2,0,4,1,93,0,39,38,1
13,2,11404,1,6,4,5,3,4,1,0,0,39,38,0
14,1,10821,11,8,4,0,1,4,0,0,0,39,38,0
25,2,5560,11,8,2,5,0,4,1,0,0,39,38,0
