Height,Weight
61.93,78.01
61.91,78.57
66.57,82.38
63.13,83.09
65.47,83.34
65.01,84.26
65.94,84.36
63.97,84.86
61.93,85.29
65.84,85.99
64.51,86.5
62.88,86.67
66.64,86.98
64.74,87.38
62.88,87.8
60.61,88.05
63.87,88.17
65.36,88.81
62.4,89.2
64.78,89.65
62.95,89.82
64.75,89.96
64.55,90.03
66.49,90.17
65.4,90.24
64.87,90.29
66.52,90.29
68.49,90.54
63.19,90.68
65.53,90.68
64.02,90.92
66.95,91.23
65.98,91.26
67.66,91.26
64.14,91.38
62.5,91.57
67.88,91.8
64.84,91.81
67.48,91.92
62.35,92.09
64.77,92.2
65.64,92.23
64.43,92.31
63.32,92.38
64.02,92.55
62.7,92.59
63.84,92.66
64.18,92.72
69.13,92.75
65.39,92.83
63.67,92.92
68,92.96
64.14,93.09
63.83,93.14
64.4,93.14
63.44,93.29
64.95,93.44
66.88,93.44
64.43,93.49
68.36,93.56
66.15,93.75
64.43,93.78
67,93.78
64.95,93.86
63.96,93.97
65.7,93.99
63.76,94.05
65.53,94.13
64.47,94.19
66.26,94.21
64.69,94.22
65.17,94.22
65.73,94.25
65.27,94.26
64.54,94.3
65.17,94.41
65.11,94.45
64.1,94.51
66.78,94.51
64.93,94.6
65.22,94.61
65.96,94.73
66.39,94.8
62.24,94.81
65.66,94.94
63.92,94.97
65.72,94.99
65.01,95.01
65.03,95.1
63.83,95.15
65.03,95.18
65.76,95.2
68.1,95.28
65.2,95.37
64.99,95.53
65.26,95.64
64.49,95.67
64.97,95.7
64.83,95.71
66.43,95.72
62.93,95.74
61.89,95.75
65.37,95.81
65.01,95.83
65.68,95.86
67,95.89
63.33,95.95
63.72,96.01
64.61,96.02
62.68,96.03
67.72,96.07
65.43,96.09
63.85,96.1
62.58,96.12
64.39,96.18
62.98,96.3
67.11,96.36
67.4,96.39
66.29,96.44
63.03,96.48
64.75,96.51
65.33,96.52
65.39,96.55
68.37,96.55
65.72,96.57
65.44,96.65
64.93,96.68
64.26,96.69
64.52,96.69
67.62,96.75
66.65,96.76
61.58,96.81
65.32,96.82
64.78,96.84
64.92,96.92
65.63,96.95
66.28,96.95
69.06,96.98
66.73,96.99
66.06,97.01
63.87,97.03
66.96,97.03
63.77,97.04
65.37,97.06
67.55,97.15
66.24,97.2
65.92,97.29
67.11,97.3
69.18,97.38
65.57,97.43
66.46,97.49
67.09,97.52
64.83,97.54
66.52,97.55
65.68,97.56
62.45,97.6
65.11,97.6
65.75,97.61
67.72,97.62
68.23,97.62
67.14,97.69
66.85,97.72
64.8,97.8
66.56,97.81
64.59,97.82
65.39,97.82
68.43,97.83
66.52,97.84
63.19,97.85
68.49,97.85
63.48,97.9
66.18,97.99
63.24,98
66.59,98.01
65.51,98.02
66.46,98.04
62.87,98.06
65.4,98.06
64.61,98.11
69.73,98.14
64.83,98.21
65.86,98.25
64.94,98.26
64.81,98.27
66.28,98.28
68.52,98.28
66.54,98.3
65.93,98.38
65.73,98.39
68.05,98.44
68.07,98.47
66.85,98.48
66.99,98.48
66.83,98.53
68.88,98.57
65.61,98.64
66.1,98.68
65.51,98.71
66.42,98.73
67.3,98.74
63.92,98.75
62.63,98.88
64.56,98.9
68.06,98.9
64.61,98.94
63.96,98.96
67.31,98.96
66.81,99
67.43,99
66.94,99.06
67.47,99.07
66.25,99.08
65.46,99.1
66.23,99.1
67.18,99.13
66.1,99.16
67.28,99.16
68.32,99.19
67.55,99.21
64.85,99.24
67.31,99.24
66.04,99.28
64.9,99.29
64.3,99.34
64.13,99.36
67.5,99.4
65.12,99.42
66.89,99.51
65.8,99.52
66.88,99.56
65.37,99.57
64.07,99.61
65.03,99.61
65.54,99.66
66.03,99.66
66.35,99.7
64.74,99.73
67.74,99.75
63.54,99.77
65.49,99.77
65.81,99.78
66.22,99.78
64.82,99.8
61.59,99.81
65.64,99.82
64.29,99.83
65.15,99.85
67.83,99.86
65.75,99.91
67.2,99.92
65.88,99.97
63.93,99.99
66.61,100
67.03,100.01
65.28,100.03
67.64,100.03
63.95,100.04
65.94,100.09
65.38,100.1
65.62,100.1
64.04,100.11
64.98,100.11
66.28,100.11
66.91,100.14
66.38,100.15
66.49,100.15
67.54,100.15
65.99,100.17
66.99,100.17
67.07,100.17
69.01,100.18
62.64,100.2
63.48,100.24
65.77,100.24
65.92,100.24
67.85,100.24
67.09,100.25
66.54,100.26
66.67,100.27
66.66,100.29
66.29,100.31
64.46,100.33
62.48,100.34
65.64,100.34
66.57,100.34
65.2,100.35
66.05,100.36
65.18,100.37
67.84,100.37
62.29,100.38
63.69,100.38
66.53,100.38
68.2,100.38
66,100.4
67.98,100.41
68.11,100.44
64.41,100.45
66.02,100.45
67.29,100.45
66.26,100.46
69.19,100.51
66.38,100.52
65.01,100.54
64.41,100.55
64.58,100.56
66.32,100.58
65.94,100.59
66.27,100.59
65.24,100.6
66.34,100.6
64.69,100.61
67.78,100.63
65.61,100.64
67.87,100.65
65.74,100.66
69.96,100.68
66.19,100.72
66.2,100.75
67.43,100.75
68.63,100.75
63.47,100.77
64.17,100.77
65.91,100.82
63.49,100.84
65.64,100.88
69.03,100.89
62.87,100.9
64.57,100.9
67.58,100.9
65.51,100.91
64.53,100.92
64.86,100.92
66.53,100.92
61.83,100.94
66.28,100.94
63.66,100.96
65.94,100.97
65.61,100.98
67.66,100.98
64.97,100.99
64.36,101
65.32,101
67.92,101.01
62.52,101.04
63.72,101.04
66.13,101.05
65.1,101.07
67.52,101.09
70.02,101.1
65.21,101.11
63.87,101.12
65.85,101.12
66.13,101.13
65.26,101.16
66.03,101.16
66.81,101.16
63.96,101.18
65.39,101.19
65.91,101.24
64.91,101.26
68.18,101.29
63.55,101.3
68.51,101.3
68.71,101.3
63.66,101.31
64.63,101.33
64.91,101.33
66.48,101.33
65.4,101.34
64.55,101.36
64.48,101.37
65.27,101.37
63.36,101.39
65.04,101.39
69.23,101.45
66.07,101.46
68.08,101.47
64.71,101.49
64.02,101.53
67.63,101.6
64.63,101.61
67.62,101.61
65.93,101.62
66.75,101.62
64.57,101.64
64.32,101.65
65.68,101.65
64.62,101.67
65.39,101.7
65.46,101.72
63.01,101.73
64.15,101.75
66.61,101.78
67,101.78
67.28,101.79
65.57,101.8
67.46,101.8
68.11,101.83
65.46,101.84
64.87,101.85
65.46,101.85
66.23,101.85
63.46,101.86
67.86,101.86
63.64,101.88
65.67,101.88
63.17,101.9
65.46,101.9
67.94,101.9
66.45,101.91
63.89,101.95
63.9,101.95
68.34,101.95
66.37,101.96
64.16,101.97
64.78,102
66.38,102.01
65.08,102.02
67.09,102.02
67.2,102.02
64.57,102.04
66.21,102.04
65.3,102.05
65.52,102.07
63.34,102.08
66.59,102.08
64.87,102.09
65.04,102.09
67.71,102.09
64.85,102.11
66.22,102.18
68.69,102.18
62.59,102.19
65.16,102.2
67.61,102.2
67.76,102.2
67.97,102.24
66.35,102.26
65.35,102.28
66.25,102.32
67.92,102.32
65.17,102.34
67.75,102.34
68.44,102.34
65.83,102.36
64.78,102.38
65.96,102.38
66.51,102.38
67.48,102.38
63.8,102.4
68.4,102.4
67.32,102.41
63.84,102.43
67.28,102.44
64.47,102.46
69.63,102.46
65.53,102.47
64.29,102.48
62.67,102.5
65.2,102.5
68.33,102.5
65.32,102.51
65.45,102.51
62.66,102.52
63.91,102.52
64.28,102.52
65.54,102.55
66.03,102.56
66.64,102.56
62.55,102.59
63.65,102.6
67.11,102.61
67.46,102.61
65.4,102.62
65.91,102.62
62.88,102.63
64,102.63
65.62,102.64
62.68,102.65
66.76,102.66
66.11,102.67
67.9,102.69
68.46,102.69
67.47,102.72
64.49,102.75
63.3,102.78
63.56,102.79
64.08,102.79
67.47,102.79
66.31,102.81
64.29,102.84
63.28,102.85
64.92,102.85
65.95,102.85
67.11,102.86
68.44,102.86
68.56,102.86
69.17,102.87
65.29,102.88
65.52,102.88
66.28,102.88
66.9,102.88
67.43,102.88
65.07,102.91
64.72,102.93
62.36,102.95
65.61,102.96
66.4,102.99
66.78,103.01
67.62,103.02
65.49,103.03
63.56,103.05
65.04,103.06
66.08,103.06
64.59,103.07
66.17,103.08
64.51,103.09
67.95,103.09
67.29,103.1
67.92,103.1
67.67,103.11
64.5,103.13
64.97,103.13
64.54,103.17
67.92,103.18
66.41,103.2
68,103.22
65.57,103.23
64.92,103.24
66.73,103.24
64.1,103.25
64.9,103.26
67.22,103.26
67.72,103.27
65.08,103.28
64.5,103.3
69.52,103.3
65.55,103.31
65.29,103.32
64.39,103.33
65.88,103.34
67.02,103.34
67.53,103.35
67.97,103.35
63.75,103.36
65.64,103.36
66.3,103.36
66.81,103.37
64.64,103.38
66.1,103.38
65.74,103.39
64.09,103.41
64.61,103.42
65.9,103.42
68.12,103.42
64.28,103.43
67.35,103.44
66.84,103.45
66.75,103.46
66.27,103.47
68.33,103.47
66.72,103.48
67.7,103.48
63.55,103.49
65.35,103.49
65.28,103.5
70.9,103.51
64.45,103.52
67.22,103.53
67.09,103.56
67,103.57
63.71,103.58
67.5,103.58
68.9,103.6
67.26,103.61
66.98,103.62
65.57,103.64
66.76,103.64
65.05,103.65
66.29,103.65
63.47,103.66
65.66,103.66
66.72,103.66
62.88,103.68
64.04,103.68
64.2,103.68
68.73,103.68
68.91,103.7
65.99,103.71
63.44,103.72
65.33,103.72
65.14,103.74
67.19,103.75
64.94,103.76
65.17,103.79
66.43,103.84
67.16,103.84
67.25,103.84
65.83,103.85
66.31,103.85
66.83,103.86
65.74,103.89
65.77,103.91
66.65,103.91
65.59,103.92
68.97,103.92
66.05,103.95
67.24,103.98
67.99,103.98
66.11,103.99
67.42,103.99
66.44,104
67.83,104
66.08,104.01
64.95,104.02
66.02,104.02
65.59,104.03
69.23,104.03
66.51,104.04
66.67,104.04
66.79,104.05
66.87,104.08
63.83,104.1
64.67,104.11
66.24,104.11
65.1,104.12
62.26,104.13
65.56,104.13
64.84,104.14
64.9,104.15
66.17,104.15
67.07,104.16
67.01,104.17
64.47,104.19
67.21,104.2
66.84,104.22
63.45,104.23
67.67,104.23
68.14,104.23
67.54,104.24
67.11,104.25
65.94,104.26
67.48,104.26
66.29,104.27
66.84,104.27
67.94,104.29
70.51,104.29
64.73,104.31
65.66,104.31
66.06,104.31
67,104.31
64.58,104.33
65.25,104.33
64.01,104.34
65.43,104.34
67.1,104.34
66.34,104.35
65.88,104.36
66.41,104.36
68.77,104.36
67.85,104.37
64.05,104.39
65.8,104.39
65.97,104.39
66.61,104.4
66.1,104.41
63.09,104.43
64.92,104.43
65.26,104.43
66.78,104.43
65.24,104.44
65.43,104.46
63.32,104.47
63.59,104.47
66.11,104.47
66.73,104.47
68.76,104.47
70,104.47
65.29,104.5
66.61,104.5
68.37,104.5
65.73,104.51
65.76,104.51
68.07,104.51
64.32,104.52
66.49,104.52
66.53,104.52
68.46,104.52
68.74,104.53
64.09,104.54
66.73,104.55
67.57,104.55
64.05,104.57
65.23,104.58
66.98,104.58
64.9,104.59
65.53,104.6
64.19,104.61
68.6,104.61
66.71,104.62
66.31,104.63
67.42,104.63
67.62,104.63
67.66,104.64
63.69,104.66
64.51,104.67
65.76,104.68
67.15,104.68
69.75,104.68
63.53,104.7
65.68,104.7
68.08,104.7
68.35,104.7
68.65,104.71
68.07,104.73
65.59,104.75
65.78,104.75
64.59,104.76
66.33,104.76
68.07,104.76
64.99,104.79
65.04,104.79
65.73,104.79
66.55,104.79
66.91,104.79
66.7,104.8
64.36,104.81
66.77,104.81
68.13,104.81
67.2,104.82
66.21,104.83
66.81,104.83
67.87,104.83
67.9,104.87
68.82,104.87
67.17,104.88
64.43,104.89
63.76,104.92
65.3,104.92
66.7,104.92
68,104.92
63.81,104.93
68.64,104.93
64.67,104.94
67.93,104.94
66.68,104.96
65.13,104.97
66.2,104.97
64.72,104.98
67.07,104.99
63.25,105.02
66.06,105.02
66.6,105.02
63.76,105.03
66.96,105.04
66.9,105.06
67.01,105.07
65.03,105.08
65.89,105.09
65.98,105.09
69.41,105.09
66.07,105.11
65.06,105.12
65.69,105.12
66.32,105.12
66.75,105.13
68.61,105.13
65.14,105.16
68.02,105.16
65.76,105.17
66.68,105.17
67.33,105.18
66.08,105.19
66.97,105.19
67.54,105.19
67.8,105.2
67.28,105.21
67.33,105.21
62.74,105.22
65.07,105.22
65.7,105.22
65.99,105.22
66.06,105.22
66.83,105.22
66.26,105.23
62.39,105.24
66.47,105.24
67.36,105.24
66.59,105.26
67.45,105.26
66.95,105.27
69.2,105.27
65.93,105.28
66.03,105.28
64.38,105.29
67,105.29
64.4,105.31
65.84,105.31
65.95,105.32
66.76,105.32
67.47,105.32
67.58,105.32
65.27,105.33
65.44,105.33
67.21,105.33
64.01,105.34
64.18,105.34
68.82,105.34
64.23,105.35
69.11,105.35
65.15,105.36
65.56,105.37
65.64,105.37
63.09,105.38
63.97,105.39
64.13,105.39
68.95,105.39
69.51,105.39
65.52,105.4
66.87,105.4
67.45,105.42
68.22,105.42
66.13,105.43
67.2,105.43
67.12,105.44
66.25,105.45
66.11,105.47
64.69,105.48
66.15,105.48
64.96,105.49
65.22,105.49
65.99,105.5
66.08,105.5
65.71,105.52
68.43,105.53
71.49,105.53
65.42,105.55
66.18,105.55
67.01,105.55
67.02,105.56
65.79,105.58
66.47,105.61
63.76,105.62
67.55,105.62
64.3,105.64
64.99,105.64
68.83,105.65
64.2,105.66
65.32,105.67
67.75,105.68
66.41,105.69
66.6,105.69
66.67,105.69
66.95,105.69
65.35,105.7
66.17,105.7
66.32,105.71
66.55,105.71
66.71,105.71
66.79,105.71
65.07,105.72
67.93,105.73
67.46,105.74
62.56,105.75
67.97,105.75
66.91,105.77
65.5,105.78
69.45,105.78
70.48,105.78
64.99,105.79
67.9,105.79
63.91,105.8
65.53,105.83
67.28,105.83
69.06,105.83
64.64,105.84
66.15,105.84
66.83,105.84
66.32,105.85
66.67,105.85
66.09,105.86
66.32,105.86
66.77,105.86
65.43,105.89
66.42,105.89
66.8,105.89
64.5,105.91
65.73,105.91
66.15,105.91
67.45,105.91
67.99,105.91
63.51,105.92
64.54,105.92
66.38,105.92
67.15,105.92
68.02,105.92
66.34,105.93
68.57,105.93
64.38,105.96
65.06,105.96
67.68,105.96
67.75,105.96
67.93,105.98
63.44,105.99
66.48,105.99
66.86,105.99
64.34,106.02
67.39,106.04
64.99,106.05
65.53,106.05
65.89,106.05
66.69,106.05
67.27,106.05
64.6,106.06
64.26,106.07
66.22,106.07
66.3,106.1
66.86,106.1
68.55,106.1
64.13,106.11
64.51,106.11
65.75,106.11
65.83,106.11
65.86,106.11
67.39,106.11
67.38,106.12
66.58,106.13
67.88,106.13
67.42,106.14
68.08,106.14
63.92,106.15
66.82,106.15
70.11,106.15
66.77,106.16
66.01,106.17
60.86,106.19
66.31,106.2
69.58,106.2
66.22,106.21
67.07,106.21
65.29,106.22
65.39,106.22
66.02,106.22
65.78,106.23
66.68,106.23
67.5,106.23
68.37,106.23
69.49,106.23
65.09,106.24
67.86,106.24
69.49,106.24
64.91,106.25
63.45,106.26
66.6,106.27
68.57,106.27
64.64,106.28
69.3,106.28
64,106.3
65.13,106.3
65.5,106.3
68.92,106.3
66.21,106.31
69.87,106.31
64.3,106.32
66.68,106.32
67.73,106.32
64.55,106.33
65.12,106.33
67.01,106.33
68.24,106.33
68.6,106.33
69.18,106.33
67.31,106.35
65,106.36
67.6,106.37
68.09,106.37
69.43,106.37
64.46,106.38
66.99,106.38
64.72,106.39
66.69,106.39
64.84,106.4
65.41,106.4
68.22,106.4
68.36,106.4
63.42,106.42
69.06,106.42
64.77,106.44
65.95,106.44
68.43,106.44
64.15,106.45
65.98,106.45
66.01,106.46
67.39,106.47
67.22,106.48
67.93,106.48
64.5,106.49
67.73,106.5
65.65,106.51
66.4,106.51
67.44,106.51
64.77,106.52
64.82,106.52
66.75,106.52
67.51,106.52
67.97,106.52
66.55,106.53
67.62,106.54
63.54,106.55
67.78,106.57
68.99,106.57
64.44,106.58
64.66,106.58
63.63,106.59
69.37,106.59
70.02,106.59
66.03,106.6
69.53,106.6
64.23,106.61
66.14,106.61
66.29,106.61
68.27,106.61
68.67,106.61
64.77,106.62
65.35,106.63
66.64,106.63
67.35,106.63
67.4,106.64
67.64,106.64
66.75,106.65
66.77,106.65
65.32,106.66
72.7,106.66
64.99,106.67
67.13,106.67
70.33,106.67
63.93,106.68
66.22,106.68
66.81,106.68
68.11,106.68
65.06,106.69
65.47,106.7
67.82,106.7
64.05,106.71
64.38,106.71
66.06,106.71
67.52,106.71
64.27,106.72
66.67,106.72
67.05,106.73
66.02,106.74
67.32,106.74
64.94,106.75
66.79,106.75
66.43,106.76
66.89,106.76
65.62,106.77
69.76,106.77
66.28,106.78
68.5,106.78
67.19,106.79
65.31,106.8
66.04,106.8
64.74,106.81
67.08,106.82
63.2,106.83
66.86,106.84
68.16,106.84
65.32,106.86
66.82,106.86
67.94,106.86
68.91,106.86
65.02,106.87
65.57,106.87
63.4,106.89
63.93,106.89
64.23,106.89
65.48,106.89
66.46,106.89
66.54,106.9
65.53,106.91
65.41,106.92
66.32,106.92
66.47,106.94
68.33,106.94
66.94,106.95
69.8,106.95
67.45,106.96
64.61,106.97
65.75,106.97
66.07,106.97
64.89,106.98
66.99,106.98
68.53,106.98
68.66,106.98
64.95,106.99
66.11,107
67.13,107
68.34,107
68.31,107.01
64.88,107.03
67.39,107.03
68.89,107.03
65.84,107.04
66.2,107.04
68.6,107.04
64.29,107.05
63.69,107.06
64.97,107.06
65.08,107.07
66.2,107.07
68.09,107.07
68.18,107.07
69.44,107.07
69.39,107.08
64.09,107.09
66.13,107.1
66.65,107.1
65.09,107.11
66.67,107.11
67.87,107.11
66.33,107.12
68.07,107.12
69.79,107.12
63.62,107.14
67.28,107.14
64.17,107.15
65.08,107.15
66.58,107.15
65.18,107.16
66.44,107.16
67.49,107.16
69.85,107.16
66.44,107.17
67.24,107.17
67.78,107.17
64.92,107.18
66.95,107.18
67.35,107.18
67.55,107.18
65.79,107.19
65.67,107.21
66.14,107.22
66.28,107.22
69.55,107.22
67.15,107.23
68.07,107.23
69.03,107.23
64.06,107.24
63.85,107.25
65.17,107.25
65.46,107.25
68.02,107.25
66.86,107.26
63.63,107.27
64.96,107.27
65.69,107.28
67.53,107.28
66.55,107.29
67.79,107.29
64.35,107.3
67.26,107.3
67.47,107.3
65.78,107.31
65.88,107.31
66.91,107.31
65.93,107.32
67.96,107.32
66.05,107.33
66.07,107.33
66.93,107.33
68.44,107.33
62.81,107.34
65.24,107.34
65.26,107.34
66.59,107.34
67.55,107.35
66.04,107.36
65.71,107.37
67.58,107.37
69.74,107.37
65.33,107.38
64.31,107.39
64.7,107.39
66.3,107.39
67.96,107.39
67.38,107.4
63.59,107.41
65.22,107.41
63.62,107.42
67.52,107.42
65.63,107.43
67.82,107.43
66.82,107.44
67.83,107.44
65.89,107.46
67.62,107.46
66.4,107.48
64.96,107.49
65.12,107.49
71.17,107.49
67.37,107.5
67.9,107.5
69.3,107.51
63.22,107.52
65.36,107.52
66.01,107.52
67.08,107.52
65.81,107.53
67.03,107.53
64.88,107.55
66.39,107.56
67.83,107.56
64.27,107.57
65.91,107.57
68.28,107.57
66.36,107.59
67.58,107.59
69.7,107.6
70.71,107.61
65.12,107.62
66.67,107.62
66.98,107.62
67.72,107.62
65.7,107.63
67.2,107.63
67.74,107.63
64.29,107.64
67.36,107.64
69.64,107.64
64.04,107.65
65.07,107.65
66.95,107.65
64.68,107.66
66.14,107.66
67.08,107.66
67.12,107.66
65.83,107.67
66.12,107.67
67.4,107.67
70.89,107.67
64.91,107.68
68.28,107.68
69.65,107.68
65.51,107.69
64.25,107.7
65.72,107.7
66.64,107.7
