,SellerG,Discretized_Price
2,Biggin,5
4,Biggin,2
6,Nelson,2
11,Nelson,2
14,Nelson,2
18,Biggin,5
24,Nelson,5
25,Biggin,1
30,Jellis,5
32,Jellis,5
35,LITTLE,5
37,Biggin,5
38,Kay,5
42,Collins,1
43,Biggin,5
44,Marshall,5
49,Nelson,2
51,Nelson,5
56,Biggin,5
57,Nelson,1
58,Jellis,5
59,Jellis,5
61,Nelson,5
63,Biggin,5
66,Nelson,1
67,Nelson,1
68,Nelson,1
70,Nelson,1
71,Brad,1
72,Maddison,1
73,Barry,1
81,Barry,1
82,Barry,1
83,Barry,1
85,Nelson,1
86,Rendina,5
88,Nelson,1
90,Nelson,1
98,Brad,1
100,Barry,1
103,Barry,1
104,Nelson,5
106,Brad,1
108,Barry,1
109,Rendina,1
112,Nelson,1
113,Barry,1
114,Barry,1
129,Harcourts,5
133,hockingstuart,5
135,Buxton,4
136,Greg,2
138,RT,2
142,Marshall,4
145,Greg,2
147,Greg,2
149,Marshall,2
152,Cayzer,4
155,Greg,5
159,Greg,5
161,Greg,2
162,RT,2
166,Greg,4
168,Cayzer,4
172,Marshall,2
176,Marshall,2
177,Marshall,1
178,Marshall,3
183,Greg,2
186,Greg,5
191,Marshall,2
193,Marshall,5
195,Brace,2
201,Collins,2
202,Nelson,4
204,Miles,1
205,Miles,1
214,Nelson,2
215,Nelson,2
216,hockingstuart,5
217,Nelson,1
219,Love,1
226,McGrath,2
229,Jellis,2
230,Greg,1
231,Greg,2
232,hockingstuart,1
233,Barlow,5
235,Greg,2
236,Barlow,1
238,Greg,1
241,Barlow,1
242,hockingstuart,5
244,Village,1
246,hockingstuart,1
249,Greg,1
251,hockingstuart,5
255,Barlow,1
259,Burnham,1
261,hockingstuart,1
262,Biggin,1
264,Greg,1
269,Williams,1
276,hockingstuart,5
278,Barlow,1
282,Compton,1
284,FN,5
285,Jas,1
289,hockingstuart,1
292,FN,1
295,Greg,1
299,Williams,1
301,Village,1
306,Jas,5
321,hockingstuart,1
322,Greg,1
339,Raine&Horne,1
340,Hunter,1
342,Jas,1
343,hockingstuart,5
349,hockingstuart,1
356,RT,5
361,Jas,1
365,Jellis,1
367,Marshall,5
368,Jellis,5
371,Jellis,2
375,Hodges,2
380,Jellis,2
383,Marshall,2
392,Marshall,1
400,Jellis,2
402,hockingstuart,1
407,hockingstuart,1
409,Marshall,5
410,Marshall,4
416,RT,2
418,Jellis,4
426,Marshall,3
432,Jellis,1
438,Jellis,5
441,Greg,1
444,Marshall,1
445,Marshall,2
453,Jellis,1
455,hockingstuart,1
457,Marshall,5
461,hockingstuart,1
465,Jellis,4
466,Kay,3
467,Jellis,5
468,Marshall,4
473,Jellis,5
480,hockingstuart,1
486,Nelson,5
487,Brad,1
490,Nelson,5
491,Jellis,1
492,Brad,2
494,Nelson,5
495,Nelson,1
496,Brad,4
497,Maddison,1
499,Nelson,5
500,Nelson,5
501,Brad,5
503,Nelson,1
504,Raine,5
506,Brad,1
508,Nelson,5
512,Nelson,1
515,Raine,5
519,Nelson,2
525,Brad,5
526,Nelson,2
527,Alexkarbon,1
528,Jellis,2
530,Nelson,5
531,Brad,5
533,Nelson,5
536,Biggin,1
537,Raine,2
538,Nelson,2
539,Brad,1
540,Nelson,5
541,Brad,5
543,Brad,5
544,Raine,2
548,Nelson,5
550,Alexkarbon,1
552,Alexkarbon,5
553,Jellis,5
555,McDonald,1
557,Nelson,2
564,Nelson,5
565,Brad,5
566,Nelson,5
569,Jellis,1
570,Jellis,5
572,Barry,2
573,Jellis,5
574,Nelson,5
