,Price,Price,Price,Price,Price,Price,Price,Price
Regionname,Eastern Metropolitan,Eastern Victoria,Northern Metropolitan,Northern Victoria,South-Eastern Metropolitan,Southern Metropolitan,Western Metropolitan,Western Victoria
SellerG,,,,,,,,
@Realty,1,0,1,0,0,0,0,0
Abercromby's,0,0,1,0,0,1,0,0
Ace,0,0,0,0,0,0,1,0
Alexkarbon,0,0,1,0,0,0,1,0
Allens,1,0,0,0,0,0,0,0
Anderson,0,0,0,0,0,1,0,0
Appleby,1,0,0,0,0,0,0,0
Aquire,0,0,0,0,1,0,0,0
Area,0,0,0,0,1,0,0,0
Ascend,0,0,1,0,0,1,0,0
Ash,0,0,0,0,1,0,0,0
Assisi,0,0,0,0,0,1,0,0
Australian,0,0,1,0,0,1,0,0
Avion,0,0,0,0,0,0,1,0
Barlow,0,0,0,0,0,0,1,0
Barry,1,1,1,1,1,1,1,0
Bayside,0,0,0,0,0,1,0,0
Bekdon,0,0,0,0,1,1,0,0
Beller,0,0,0,0,0,1,0,0
Bells,0,0,0,0,0,0,1,0
Benlor,0,0,0,0,0,0,1,0
Besser,0,0,0,0,0,1,0,0
Biggin,1,0,1,0,1,1,1,0
Boran,0,0,1,0,0,0,0,0
Boutique,0,0,0,0,1,0,0,0
Bowman,0,1,0,0,1,0,0,0
Brace,0,0,1,0,0,0,0,0
Brad,0,0,1,0,0,0,1,0
Buckingham,1,0,1,1,0,1,0,0
Bullen,0,0,0,0,0,0,1,0
Burnham,0,0,0,0,0,0,1,0
Burns,0,0,0,0,0,0,1,0
Buxton,1,0,0,0,1,1,0,0
Buxton/Advantage,0,0,0,0,0,1,0,0
Buxton/Find,0,0,0,0,0,1,0,0
C21,0,1,1,0,1,1,1,0
Caine,0,0,1,0,0,1,0,0
Calder,0,0,0,0,0,0,1,0
Carter,1,0,0,0,0,0,0,0
Castran,0,0,1,0,0,1,0,0
Cayzer,0,0,0,0,0,1,0,0
Century,0,0,1,0,0,1,0,0
Chambers,0,0,1,0,0,0,1,0
Charlton,0,0,0,0,0,1,0,0
Charter,0,0,0,0,0,0,1,0
Chisholm,0,0,0,0,1,1,1,0
Christopher,0,0,0,0,0,1,0,0
Clairmont,0,0,0,0,0,0,1,0
Collings,1,0,0,0,0,0,0,0
Collins,0,0,1,0,0,0,0,0
Commercial,0,0,0,0,0,0,1,0
Compton,0,0,0,0,0,0,1,0
Considine,0,0,1,0,0,0,1,0
Crane,0,0,1,0,0,0,1,0
D'Aprano,0,0,1,0,0,0,0,0
Daniel,0,0,0,0,0,0,1,0
Darras,0,0,0,0,1,0,0,0
Darren,1,0,1,0,0,0,0,0
Del,0,0,0,0,1,0,0,0
Dingle,0,0,1,0,0,1,0,0
Dixon,0,0,1,0,0,0,0,0
Domain,0,0,0,0,1,1,0,0
Douglas,0,0,0,0,0,0,1,0
Edward,0,0,1,0,0,1,1,0
Eric,0,0,0,1,0,0,0,0
Eview,0,1,1,0,1,1,1,0
FN,0,1,1,1,0,1,1,1
First,0,0,1,0,0,1,1,0
Flannagan,1,0,0,0,0,0,0,0
Fletchers,1,1,1,0,1,1,0,0
Fletchers/One,0,0,0,0,0,1,0,0
Follett,0,0,0,0,0,1,0,0
Frank,0,0,0,0,0,1,1,0
GL,0,0,0,0,0,0,1,0
Galldon,0,0,1,0,0,0,0,0
Gardiner,1,0,0,0,0,0,0,0
Garvey,0,0,0,0,0,1,0,0
Gary,0,0,0,0,1,1,0,0
Geoff,0,0,0,0,0,1,0,0
Grantham,0,0,1,0,0,0,0,0
Greg,0,0,1,0,1,1,1,0
Gunn&Co,0,0,0,0,0,0,1,0
H,1,0,0,0,0,0,0,0
HAR,1,0,1,1,1,1,1,1
Hall,0,0,0,0,1,1,0,0
Harcourts,1,1,1,1,1,1,1,0
Harrington,0,0,1,0,0,1,0,0
