SellerG,Regionname,Price_visualization
@Realty,Eastern Metropolitan,1650000.0
@Realty,Northern Metropolitan,1709000.0
Abercromby's,Northern Metropolitan,2655000.0
Abercromby's,Southern Metropolitan,26124000.0
Ace,Western Metropolitan,600000.0
Alexkarbon,Northern Metropolitan,15826590.0
Alexkarbon,Western Metropolitan,9624000.0
Allens,Eastern Metropolitan,1461400.0
Anderson,Southern Metropolitan,1353000.0
Appleby,Eastern Metropolitan,1640000.0
Aquire,South-Eastern Metropolitan,1056000.0
Area,South-Eastern Metropolitan,2289250.0
Ascend,Northern Metropolitan,1630100.0
Ascend,Southern Metropolitan,1750000.0
Ash,South-Eastern Metropolitan,1507250.0
Assisi,Southern Metropolitan,3360000.0
Australian,Northern Metropolitan,1012000.0
Australian,Southern Metropolitan,585000.0
Avion,Western Metropolitan,1635000.0
Barlow,Western Metropolitan,10773500.0
Barry,Eastern Metropolitan,206758089.0
Barry,Eastern Victoria,1938000.0
Barry,Northern Metropolitan,172005776.0
Barry,Northern Victoria,5434500.0
Barry,South-Eastern Metropolitan,28149250.0
Barry,Southern Metropolitan,22975000.0
Barry,Western Metropolitan,194372200.0
Bayside,Southern Metropolitan,2325000.0
Bekdon,South-Eastern Metropolitan,1050000.0
Bekdon,Southern Metropolitan,6038000.0
Beller,Southern Metropolitan,7182000.0
Bells,Western Metropolitan,17453000.0
Benlor,Western Metropolitan,574000.0
Besser,Southern Metropolitan,1225000.0
Biggin,Eastern Metropolitan,5150000.0
Biggin,Northern Metropolitan,93364000.0
Biggin,South-Eastern Metropolitan,2285000.0
Biggin,Southern Metropolitan,105026500.0
Biggin,Western Metropolitan,50987500.0
Boran,Northern Metropolitan,810000.0
Boutique,South-Eastern Metropolitan,1426800.0
Bowman,Eastern Victoria,510000.0
Bowman,South-Eastern Metropolitan,2350888.0
Brace,Northern Metropolitan,2000000.0
Brad,Northern Metropolitan,69413000.0
Brad,Western Metropolitan,112521700.0
Buckingham,Eastern Metropolitan,14128500.0
Buckingham,Northern Metropolitan,13741500.0
Buckingham,Northern Victoria,1150500.0
Buckingham,Southern Metropolitan,1405000.0
Bullen,Western Metropolitan,3201000.0
Burnham,Western Metropolitan,13534000.0
Burns,Western Metropolitan,552000.0
Buxton,Eastern Metropolitan,19284888.0
Buxton,South-Eastern Metropolitan,67248347.0
Buxton,Southern Metropolitan,441067750.0
Buxton/Advantage,Southern Metropolitan,550000.0
Buxton/Find,Southern Metropolitan,639000.0
C21,Eastern Victoria,4854000.0
C21,Northern Metropolitan,720000.0
C21,South-Eastern Metropolitan,12869000.0
C21,Southern Metropolitan,9034000.0
C21,Western Metropolitan,915000.0
Caine,Northern Metropolitan,9636000.0
Caine,Southern Metropolitan,4850000.0
Calder,Western Metropolitan,600000.0
Carter,Eastern Metropolitan,2938000.0
Castran,Northern Metropolitan,700000.0
Castran,Southern Metropolitan,16282000.0
Cayzer,Southern Metropolitan,34867000.0
Century,Northern Metropolitan,720000.0
Century,Southern Metropolitan,830000.0
Chambers,Northern Metropolitan,10775500.0
Chambers,Western Metropolitan,760000.0
Charlton,Southern Metropolitan,7685000.0
Charter,Western Metropolitan,855000.0
Chisholm,South-Eastern Metropolitan,2440000.0
Chisholm,Southern Metropolitan,43225750.0
Chisholm,Western Metropolitan,815000.0
Christopher,Southern Metropolitan,2948000.0
Clairmont,Western Metropolitan,865000.0
Collings,Eastern Metropolitan,1113000.0
Collins,Northern Metropolitan,47069000.0
Commercial,Western Metropolitan,620000.0
Compton,Western Metropolitan,1410600.0
Considine,Northern Metropolitan,1785500.0
Considine,Western Metropolitan,15291000.0
Crane,Northern Metropolitan,540000.0
Crane,Western Metropolitan,560000.0
D'Aprano,Northern Metropolitan,2161000.0
Daniel,Western Metropolitan,1803500.0
Darras,South-Eastern Metropolitan,1870000.0
Darren,Eastern Metropolitan,1005000.0
Darren,Northern Metropolitan,13151000.0
Del,South-Eastern Metropolitan,2160000.0
Dingle,Northern Metropolitan,2636000.0
Dingle,Southern Metropolitan,2553000.0
Dixon,Northern Metropolitan,1297000.0
Domain,South-Eastern Metropolitan,962500.0
Domain,Southern Metropolitan,375000.0
Douglas,Western Metropolitan,36935300.0
Edward,Northern Metropolitan,10559000.0
Edward,Southern Metropolitan,710000.0
Edward,Western Metropolitan,2205000.0
Eric,Northern Victoria,355000.0
Eview,Eastern Victoria,1412000.0
Eview,Northern Metropolitan,19724466.0
Eview,South-Eastern Metropolitan,5869000.0
Eview,Southern Metropolitan,1615000.0
Eview,Western Metropolitan,538000.0
FN,Eastern Victoria,490000.0
FN,Northern Metropolitan,1710000.0
FN,Northern Victoria,1548000.0
FN,Southern Metropolitan,1205000.0
FN,Western Metropolitan,5185000.0
FN,Western Victoria,695000.0
First,Northern Metropolitan,935000.0
First,Southern Metropolitan,1035000.0
First,Western Metropolitan,591000.0
Flannagan,Eastern Metropolitan,1655000.0
Fletchers,Eastern Metropolitan,94758500.0
Fletchers,Eastern Victoria,3431000.0
Fletchers,Northern Metropolitan,4724000.0
Fletchers,South-Eastern Metropolitan,1815000.0
Fletchers,Southern Metropolitan,158408500.0
Fletchers/One,Southern Metropolitan,1800000.0
Follett,Southern Metropolitan,1820000.0
Frank,Southern Metropolitan,4453000.0
Frank,Western Metropolitan,16641000.0
GL,Western Metropolitan,5506000.0
Galldon,Northern Metropolitan,1167000.0
Gardiner,Eastern Metropolitan,2426000.0
Garvey,Southern Metropolitan,3360000.0
Gary,South-Eastern Metropolitan,883300.0
Gary,Southern Metropolitan,104579000.0
Geoff,Southern Metropolitan,681000.0
Grantham,Northern Metropolitan,1290000.0
Greg,Northern Metropolitan,5358000.0
Greg,South-Eastern Metropolitan,5502500.0
Greg,Southern Metropolitan,123059500.0
Greg,Western Metropolitan,90129500.0
Gunn&Co,Western Metropolitan,6415000.0
H,Eastern Metropolitan,1435000.0
HAR,Eastern Metropolitan,1400000.0
HAR,Northern Metropolitan,36436000.0
HAR,Northern Victoria,1055000.0
HAR,South-Eastern Metropolitan,1710000.0
HAR,Southern Metropolitan,4865000.0
HAR,Western Metropolitan,5300700.0
HAR,Western Victoria,1957500.0
Hall,South-Eastern Metropolitan,9670000.0
Hall,Southern Metropolitan,835000.0
Harcourts,Eastern Metropolitan,37721500.0
Harcourts,Eastern Victoria,2335000.0
Harcourts,Northern Metropolitan,31236500.0
Harcourts,Northern Victoria,530000.0
Harcourts,South-Eastern Metropolitan,18927500.0
Harcourts,Southern Metropolitan,3080000.0
Harcourts,Western Metropolitan,3903500.0
Harrington,Northern Metropolitan,11709500.0
Harrington,Southern Metropolitan,900000.0
Haughton,Eastern Metropolitan,5406000.0
Haughton,Northern Metropolitan,2385000.0
Hayeswinckle,Western Metropolitan,390000.0
Hodges,Northern Metropolitan,4492000.0
Hodges,South-Eastern Metropolitan,7490000.0
Hodges,Southern Metropolitan,103529888.0
Hodges,Western Metropolitan,8351000.0
Holland,Eastern Metropolitan,1100000.0
Holland,Northern Metropolitan,2713500.0
Homes,Western Metropolitan,470000.0
Hoskins,Eastern Metropolitan,4153000.0
Hoskins,Eastern Victoria,911982.0
